Students	4761
211	945 567 711 109
212	572 594 147 383
213	13 226 663 535
214	791 359 678 372
215	879 469 608 72
216	382 439 764 148
217	210 466 544 634
218	680 301 607 57
219	329 64 669 908
220	459 501 787 432
221	764 755 969 855
222	303 509 215 800
223	994 677 469 125
224	842 143 949 615
225	318 461 146 772
226	525 814 841 914
227	170 150 367 144
228	406 533 438 850
229	678 747 99 649
230	880 893 14 344
231	965 397 844 153
232	441 61 881 216
233	480 641 415 157
234	302 137 408 20
235	685 668 207 491
236	154 116 254 454
237	485 976 596 251
238	429 73 379 688
239	157 427 437 854
240	193 155 357 130
241	931 223 425 595
242	174 377 325 185
243	12 948 247 862
244	513 260 690 329
245	573 452 38 202
246	530 834 365 385
247	198 18 648 756
248	171 623 863 228
249	291 939 619 211
250	821 774 70 294
251	235 383 569 281
252	886 650 890 136
253	441 161 897 939
254	834 826 227 4
255	997 803 334 25
256	435 628 993 859
257	315 197 870 644
258	563 48 891 494
259	22 851 51 753
260	228 142 767 487
261	375 772 428 630
262	512 743 197 483
263	632 835 209 526
264	639 688 828 941
265	139 466 811 631
266	762 537 682 826
267	380 475 31 636
268	923 171 301 892
269	875 823 64 620
270	262 535 98 161
271	591 207 395 640
272	808 229 770 881
273	500 381 931 455
274	49 611 953 790
275	18 244 361 29
276	87 573 541 763
277	310 868 844 23
278	359 162 285 9
279	885 785 611 330
280	797 793 339 798
281	460 70 950 791
282	830 880 376 363
283	829 975 359 648
284	808 308 809 995
285	320 116 349 930
286	259 371 426 551
287	522 528 512 967
288	922 412 416 573
289	108 208 954 412
290	611 678 411 950
291	980 117 160 716
292	794 603 623 449
293	19 669 751 253
294	23 605 976 842
295	913 670 405 269
296	637 455 213 749
297	289 801 287 606
298	346 524 776 121
299	917 954 355 963
300	998 811 931 525
301	354 877 185 674
302	442 263 938 218
303	947 700 813 175
304	730 141 25 93
305	625 304 551 165
306	782 474 228 199
307	420 622 982 449
308	809 346 930 264
309	264 534 324 151
310	307 470 552 618
311	294 29 758 388
312	517 17 118 919
313	562 674 861 485
314	794 192 627 395
315	823 265 205 535
316	491 381 997 633
317	776 705 373 418
318	577 30 81 532
319	978 813 48 406
320	398 557 706 733
321	424 739 619 135
322	723 737 951 668
323	678 130 732 18
324	424 993 880 428
325	295 999 517 167
326	949 918 812 763
327	206 495 818 482
328	21 200 747 916
329	678 429 589 873
330	864 838 993 413
331	438 432 769 493
332	598 133 157 609
333	563 129 397 464
334	355 542 625 577
335	768 510 382 814
336	110 847 378 861
337	818 30 377 269
338	163 509 465 733
339	853 563 440 63
340	714 283 771 864
341	597 487 734 200
342	993 350 753 723
343	553 633 331 408
344	962 302 681 588
345	480 715 307 626
346	702 262 539 825
347	714 200 697 981
348	195 322 143 914
349	102 246 567 107
350	391 258 233 807
351	647 472 386 114
352	98 184 260 363
353	272 833 157 704
354	470 383 332 982
355	448 815 240 709
356	602 97 338 54
357	843 473 629 814
358	6 418 550 543
359	539 606 511 341
360	572 787 133 793
361	825 477 293 743
362	922 808 834 697
363	49 64 938 912
364	970 203 809 436
365	507 766 346 465
366	865 806 970 351
367	921 865 768 948
368	449 400 446 914
369	581 814 667 287
370	814 64 773 396
371	873 583 258 869
372	544 465 204 584
373	529 913 971 371
374	730 161 66 831
375	587 262 440 808
376	933 584 493 768
377	781 693 201 311
378	833 810 927 273
379	767 675 194 819
380	430 636 733 659
381	385 64 341 235
382	307 736 935 596
383	927 59 897 551
384	666 905 566 966
385	201 15 48 142
386	509 444 370 742
387	54 389 202 722
388	655 792 612 948
389	873 931 765 407
390	989 395 607 963
391	519 483 720 977
392	673 626 112 740
393	86 377 234 693
394	906 300 166 4
395	859 495 639 955
396	143 944 67 101
397	849 498 546 701
398	628 537 145 19
399	323 591 579 656
400	483 855 707 987
401	826 483 176 484
402	610 927 5 220
403	291 859 201 431
404	88 346 403 601
405	952 757 620 263
406	849 350 937 538
407	969 768 366 189
408	899 648 350 793
409	847 826 581 974
410	491 948 272 811
411	964 699 875 639
412	250 20 644 979
413	787 962 838 983
414	399 900 674 271
415	642 382 78 658
416	930 572 954 220
417	139 223 689 757
418	3 65 355 372
419	254 885 119 654
420	982 238 258 95
421	905 365 965 24
422	555 531 93 65
423	76 961 746 388
424	226 859 979 502
425	115 98 651 792
426	272 655 611 607
427	328 148 854 205
428	680 327 144 380
429	701 716 545 389
430	231 28 513 86
431	204 396 29 640
432	213 896 87 291
433	898 460 612 272
434	78 881 147 930
435	246 730 94 705
436	130 83 449 524
437	611 917 357 532
438	981 88 54 348
439	919 53 950 25
440	76 125 686 15
441	844 234 579 82
442	80 991 86 683
443	691 808 101 785
444	272 613 255 864
445	366 297 953 345
446	410 786 991 576
447	395 790 969 422
448	688 116 844 426
449	45 310 153 500
450	540 427 464 55
451	947 639 322 253
452	22 930 318 247
453	520 405 475 605
454	423 287 950 943
455	703 806 384 492
456	596 262 250 338
457	136 214 158 177
458	177 41 701 193
459	23 490 336 534
460	486 205 553 325
461	559 874 23 807
462	481 877 49 824
463	553 330 66 830
464	281 156 66 855
465	659 76 403 95
466	266 687 156 187
467	781 147 351 175
468	778 677 198 616
469	528 181 843 142
470	799 865 986 314
471	897 453 205 658
472	45 818 109 885
473	472 780 151 309
474	719 978 228 383
475	735 95 274 696
476	518 800 101 226
477	833 333 469 546
478	733 348 7 106
479	36 764 411 812
480	217 916 536 463
481	406 72 412 335
482	748 608 66 44
483	681 271 719 123
484	862 306 630 410
485	184 42 625 751
486	540 153 292 964
487	668 165 505 656
488	207 467 610 253
489	327 517 310 371
490	420 14 207 809
491	880 549 838 842
492	222 682 18 800
493	546 221 556 13
494	635 920 311 72
495	920 147 659 820
496	946 723 126 992
497	276 82 512 563
498	454 572 410 620
499	549 971 617 399
500	126 505 754 370
501	330 460 761 352
502	186 388 284 279
503	522 172 93 794
504	975 563 971 412
505	918 70 410 847
506	587 252 360 725
507	846 895 91 509
508	657 510 441 926
509	216 47 761 623
510	386 32 236 480
511	744 228 933 968
512	348 865 417 919
513	867 862 596 873
514	893 877 207 70
515	875 579 970 764
516	954 898 635 613
517	104 50 405 925
518	929 579 159 642
519	577 54 722 638
520	859 377 621 550
521	383 954 124 519
522	531 505 464 588
523	182 682 168 552
524	277 383 148 940
525	694 941 203 831
526	171 876 760 982
527	679 550 99 467
528	75 564 863 699
529	961 799 52 473
530	448 416 739 881
531	263 200 749 689
532	146 480 330 832
533	193 274 207 964
534	485 625 316 781
535	562 855 133 902
536	696 952 994 109
537	288 946 768 413
538	507 220 829 796
539	567 316 781 245
540	35 522 822 191
541	657 913 918 394
542	303 483 120 344
543	549 606 821 47
544	720 459 618 639
545	81 981 611 257
546	573 571 653 400
547	515 690 595 89
548	146 925 280 486
549	451 315 727 369
550	356 22 28 612
551	968 868 244 497
552	937 212 485 291
553	309 773 265 1
554	30 3 533 841
555	14 658 967 637
556	736 189 572 855
557	351 356 398 884
558	599 55 604 906
559	111 249 882 624
560	229 353 617 19
561	291 512 444 636
562	240 366 327 612
563	974 876 693 303
564	520 132 952 231
565	764 215 82 576
566	334 823 361 329
567	445 675 590 824
568	190 333 650 796
569	166 58 367 649
570	451 390 906 708
571	338 871 90 163
572	638 871 699 989
573	585 801 368 453
574	17 548 602 301
575	573 358 740 218
576	565 195 902 461
577	256 81 504 607
578	634 852 480 169
579	105 32 897 323
580	684 31 734 607
581	175 245 865 954
582	264 845 353 746
583	455 429 10 315
584	4 349 664 826
585	797 511 124 319
586	774 864 269 534
587	866 521 92 496
588	307 703 709 849
589	975 922 824 842
590	540 504 903 420
591	375 747 347 124
592	629 325 206 558
593	549 780 118 84
594	97 763 28 668
595	335 604 113 281
596	878 631 69 971
597	244 543 292 433
598	50 127 431 885
599	169 391 584 232
600	918 25 22 329
601	793 371 607 519
602	732 129 913 508
603	396 924 995 655
604	718 145 583 441
605	433 788 307 647
606	310 136 242 627
607	207 321 212 331
608	416 957 778 737
609	200 167 839 470
610	329 403 200 179
611	139 179 916 172
612	399 325 854 683
613	674 990 616 401
614	917 639 89 820
615	619 718 825 707
616	743 963 497 496
617	79 98 872 503
618	104 628 343 26
619	414 745 650 363
620	608 911 294 336
621	915 374 444 829
622	9 661 101 228
623	288 498 712 186
624	439 926 462 390
625	509 590 535 481
626	834 797 894 23
627	378 712 432 846
628	75 441 79 538
629	171 342 781 836
630	915 238 806 765
631	91 500 117 36
632	106 974 339 509
633	843 316 184 719
634	288 316 755 92
635	553 850 738 649
636	76 142 570 726
637	412 312 724 479
638	497 878 752 183
639	890 858 656 323
640	387 670 28 240
641	98 749 734 224
642	610 83 289 802
643	884 1000 463 231
644	992 43 716 454
645	571 607 331 693
646	683 878 222 418
647	784 39 398 227
648	239 687 733 539
649	717 7 485 514
650	124 677 776 974
651	305 396 24 712
652	441 837 915 736
653	193 894 534 829
654	693 10 557 74
655	110 64 101 820
656	44 474 753 965
657	216 516 222 522
658	103 161 708 674
659	300 403 860 817
660	475 980 864 404
661	202 676 565 546
662	454 68 561 550
663	700 396 108 789
664	20 413 502 989
665	206 951 114 80
666	961 999 448 105
667	982 190 854 18
668	340 526 871 985
669	300 332 438 515
670	709 779 519 319
671	895 17 411 627
672	455 956 244 69
673	297 2 886 487
674	399 585 722 887
675	162 821 153 389
676	310 197 141 602
677	502 207 947 472
678	315 578 302 844
679	802 168 367 778
680	261 263 60 997
681	375 419 779 657
682	983 889 466 239
683	931 280 908 664
684	80 199 538 390
685	287 258 713 90
686	235 743 76 641
687	319 271 576 232
688	336 811 524 9
689	765 874 806 348
690	671 711 517 550
691	241 914 423 7
692	229 274 321 936
693	891 746 760 192
694	717 398 103 989
695	405 527 423 91
696	250 510 618 178
697	770 114 773 979
698	777 50 657 851
699	993 807 203 982
700	246 483 342 232
701	218 482 127 789
702	172 877 147 781
703	105 690 772 578
704	743 794 355 560
705	88 922 604 522
706	876 91 499 669
707	128 578 432 238
708	630 238 232 655
709	888 118 17 455
710	233 948 972 21
711	832 510 332 11
712	541 204 637 624
713	607 369 443 980
714	155 296 723 793
715	217 104 340 394
716	547 66 46 461
717	907 996 975 535
718	515 407 438 465
719	399 363 173 234
720	988 963 823 440
721	85 877 38 945
722	701 118 160 418
723	68 669 996 637
724	560 611 892 301
725	476 46 614 678
726	564 532 695 909
727	310 548 905 999
728	994 35 532 149
729	200 581 917 740
730	229 824 221 196
731	820 42 5 520
732	923 378 21 257
733	414 229 359 210
734	490 896 980 618
735	798 764 19 814
736	800 170 160 185
737	484 480 845 643
738	759 926 181 672
739	54 975 613 478
740	941 710 903 895
741	725 39 741 834
742	802 51 502 401
743	122 260 889 739
744	62 447 626 788
745	638 910 66 687
746	725 736 801 624
747	400 632 726 535
748	896 513 762 841
749	784 550 720 163
750	931 571 934 833
751	618 162 926 646
752	743 795 832 267
753	721 795 834 556
754	35 528 801 786
755	155 441 337 737
756	44 203 95 372
757	655 517 539 587
758	938 956 995 114
759	2 480 408 432
760	335 6 355 544
761	721 219 726 45
762	561 811 688 477
763	397 871 866 773
764	172 410 654 532
765	43 26 622 971
766	923 908 635 85
767	425 283 451 690
768	881 740 859 466
769	3 781 237 619
770	582 219 419 619
771	110 640 905 322
772	223 905 411 264
773	360 195 2 684
774	619 460 317 873
775	789 554 655 338
776	328 10 723 382
777	138 267 169 538
778	663 518 422 645
779	807 842 879 587
780	493 277 987 60
781	442 426 783 458
782	679 471 893 696
783	807 221 904 706
784	690 665 401 496
785	610 107 297 81
786	471 216 460 815
787	162 502 114 555
788	887 837 56 635
789	371 708 142 588
790	156 992 580 301
791	326 865 825 575
792	524 355 1 482
793	899 149 823 337
794	42 296 842 409
795	142 61 811 450
796	744 270 226 120
797	947 473 359 951
798	674 985 537 553
799	397 600 413 677
800	228 481 583 874
801	451 219 117 86
802	982 557 485 332
803	145 281 443 903
804	731 520 885 268
805	276 496 390 370
806	787 910 532 664
807	605 629 308 156
808	658 647 688 728
809	14 992 240 260
810	111 69 319 597
811	642 78 47 319
812	299 416 526 189
813	987 353 471 797
814	34 676 215 572
815	147 982 238 474
816	547 85 578 43
817	869 658 754 491
818	52 244 546 218
819	822 783 936 961
820	210 533 42 95
821	589 929 256 842
822	182 454 483 959
823	171 923 122 289
824	262 573 710 463
825	424 895 316 226
826	256 16 241 986
827	738 324 317 235
828	628 795 496 578
829	441 468 994 123
830	163 853 444 415
831	858 533 331 776
832	357 351 929 742
833	699 630 561 947
834	974 639 804 644
835	468 840 321 682
836	273 313 859 887
837	867 690 237 952
838	202 958 479 252
839	770 976 609 917
840	455 507 878 480
841	182 121 762 951
842	661 595 755 957
843	763 212 943 182
844	148 963 222 747
845	887 440 586 852
846	634 738 904 454
847	946 931 155 239
848	943 371 138 632
849	571 819 784 225
850	338 113 383 175
851	714 30 391 858
852	331 203 989 182
853	81 405 972 411
854	912 307 722 276
855	248 706 367 514
856	981 379 588 275
857	886 544 821 899
858	376 811 742 394
859	914 479 343 193
860	327 628 527 863
861	89 368 970 961
862	315 554 986 989
863	473 526 742 916
864	330 942 487 165
865	468 456 410 784
866	235 937 486 305
867	628 654 624 852
868	494 760 804 477
869	228 521 651 592
870	834 641 244 265
871	701 500 442 129
872	498 788 779 538
873	355 333 243 485
874	640 737 62 843
875	464 795 779 707
876	33 581 490 610
877	747 330 466 999
878	759 853 594 713
879	418 756 10 924
880	698 305 120 707
881	530 638 254 605
882	695 428 748 231
883	53 958 67 580
884	43 302 34 657
885	206 439 669 659
886	458 320 830 50
887	874 258 763 679
888	123 365 132 904
889	562 902 498 522
890	449 285 34 912
891	226 602 361 177
892	141 869 214 245
893	486 141 773 845
894	836 100 188 427
895	205 801 325 365
896	44 138 373 911
897	110 893 309 259
898	389 347 856 884
899	197 607 456 743
900	157 711 659 681
901	928 888 540 961
902	3 126 191 394
903	810 673 837 491
904	216 392 532 947
905	817 99 251 923
906	384 226 173 923
907	259 218 295 920
908	383 223 842 913
909	100 356 6 724
910	615 511 86 8
911	473 501 315 495
912	104 789 351 336
913	80 1000 342 237
914	571 543 398 206
915	466 410 593 307
916	896 487 49 518
917	692 561 46 664
918	422 724 387 589
919	750 769 679 102
920	425 660 764 432
921	194 649 79 676
922	461 172 821 837
923	184 386 232 450
924	735 820 203 44
925	525 969 468 499
926	128 8 621 102
927	513 932 138 509
928	772 760 325 386
929	53 734 523 280
930	849 985 679 552
931	290 975 234 423
932	47 359 330 798
933	993 651 644 666
934	371 500 294 284
935	690 7 297 972
936	586 471 807 213
937	847 443 913 529
938	541 145 319 658
939	865 790 740 345
940	785 421 959 180
941	700 698 28 609
942	158 877 190 489
943	725 769 364 208
944	500 982 119 855
945	782 578 419 781
946	226 601 102 773
947	511 664 465 482
948	276 169 908 415
949	690 153 620 185
950	870 554 623 746
951	731 679 404 196
952	580 360 952 772
953	498 904 627 694
954	437 105 309 303
955	292 12 7 989
956	216 504 339 767
957	186 232 241 419
958	555 865 109 70
959	912 620 399 128
960	281 409 235 250
961	117 23 623 262
962	162 223 622 655
963	152 421 131 332
964	372 355 705 509
965	596 545 696 782
966	693 493 868 629
967	379 842 343 655
968	651 177 324 113
969	597 102 285 563
970	701 511 954 269
971	158 391 68 764
972	536 124 707 549
973	656 837 638 851
974	690 211 97 655
975	294 798 92 549
976	19 89 575 8
977	868 548 784 313
978	671 9 771 827
979	75 136 711 697
980	323 20 183 287
981	422 243 183 880
982	599 206 678 96
983	558 910 604 291
984	785 469 313 348
985	948 1 856 42
986	207 379 349 716
987	437 151 139 730
988	854 280 35 869
989	376 704 343 240
990	168 980 661 494
991	681 866 982 362
992	204 861 631 492
993	408 905 473 401
994	728 186 831 662
995	151 684 83 477
996	225 687 341 725
997	885 297 163 864
998	169 297 648 605
999	621 832 405 556
1000	378 985 849 698
1001	643 537 719 232
1002	752 250 1000 272
1003	911 805 981 913
1004	186 765 667 246
1005	653 402 365 912
1006	7 24 965 346
1007	63 324 154 134
1008	852 626 823 9
1009	527 522 969 360
1010	494 7 14 517
1011	749 463 96 954
1012	771 4 514 511
1013	701 184 190 309
1014	433 622 94 429
1015	368 54 950 460
1016	422 806 644 440
1017	851 924 515 492
1018	811 753 651 136
1019	498 732 199 780
1020	415 590 388 557
1021	386 923 922 634
1022	854 782 851 160
1023	677 226 107 629
1024	675 718 212 969
1025	46 424 122 731
1026	999 288 557 461
1027	666 779 323 389
1028	38 169 999 708
1029	959 666 615 883
1030	733 699 827 924
1031	678 786 8 580
1032	743 929 188 825
1033	693 77 37 205
1034	935 458 992 176
1035	219 32 76 898
1036	598 125 97 455
1037	145 709 502 586
1038	598 497 574 834
1039	530 134 391 199
1040	788 357 826 574
1041	314 153 935 307
1042	64 80 592 494
1043	774 54 32 73
1044	626 870 422 378
1045	278 425 598 797
1046	140 297 51 67
1047	452 793 955 913
1048	703 515 184 518
1049	957 561 301 48
1050	740 780 621 269
1051	703 632 674 608
1052	227 666 301 629
1053	452 907 998 440
1054	913 428 823 370
1055	464 531 779 270
1056	538 521 212 878
1057	54 349 765 27
1058	408 202 235 522
1059	646 559 418 631
1060	53 460 357 462
1061	216 955 362 519
1062	130 281 512 242
1063	799 445 63 3
1064	152 387 224 294
1065	74 793 866 510
1066	140 135 252 904
1067	935 641 189 954
1068	754 237 859 309
1069	311 888 92 697
1070	57 315 1 293
1071	465 494 678 88
1072	583 66 242 111
1073	457 568 768 126
1074	12 16 918 579
1075	430 394 77 567
1076	394 400 194 914
1077	923 694 703 729
1078	506 699 899 276
1079	475 4 40 292
1080	639 777 723 979
1081	335 493 407 669
1082	834 340 184 30
1083	259 959 551 857
1084	349 655 971 15
1085	995 6 885 267
1086	922 100 746 303
1087	231 611 794 701
1088	221 98 168 242
1089	531 366 592 526
1090	727 458 981 301
1091	977 720 739 76
1092	171 938 256 76
1093	51 415 752 525
1094	571 123 491 724
1095	572 176 820 745
1096	857 324 100 641
1097	359 381 534 204
1098	42 269 5 154
1099	628 130 280 543
1100	924 836 428 570
1101	74 613 787 304
1102	328 887 705 193
1103	982 149 49 204
1104	970 598 931 800
1105	690 618 327 483
1106	136 314 503 654
1107	219 243 238 87
1108	499 48 171 313
1109	910 865 980 886
1110	552 245 60 405
1111	456 896 604 709
1112	355 315 205 34
1113	817 128 866 672
1114	487 754 561 689
1115	106 453 584 221
1116	394 355 97 349
1117	702 321 647 288
1118	575 159 559 8
1119	527 476 746 224
1120	396 290 715 938
1121	601 92 702 485
1122	663 752 398 900
1123	788 942 745 567
1124	474 612 486 888
1125	876 649 457 377
1126	271 709 17 191
1127	955 380 149 27
1128	487 193 5 291
1129	398 560 350 27
1130	635 740 163 554
1131	616 333 717 7
1132	197 259 670 787
1133	144 513 136 358
1134	238 250 299 454
1135	573 727 982 663
1136	193 766 749 752
1137	280 526 394 936
1138	94 741 826 901
1139	51 245 78 818
1140	853 535 94 51
1141	370 366 108 67
1142	211 813 42 798
1143	414 310 404 619
1144	294 509 863 30
1145	103 834 387 175
1146	687 52 22 945
1147	891 575 104 60
1148	121 656 131 559
1149	109 383 895 216
1150	50 750 564 293
1151	726 314 684 512
1152	858 368 849 434
1153	471 390 841 391
1154	851 364 216 477
1155	292 262 570 766
1156	24 562 636 162
1157	17 754 940 973
1158	833 588 288 303
1159	900 826 23 580
1160	849 952 717 349
1161	487 888 61 759
1162	225 107 820 994
1163	821 554 226 13
1164	355 624 449 37
1165	576 857 356 29
1166	980 341 604 137
1167	150 676 951 539
1168	258 317 162 60
1169	72 610 876 141
1170	998 688 576 521
1171	357 838 440 211
1172	339 83 256 729
1173	600 545 945 136
1174	636 70 172 318
1175	647 364 404 372
1176	230 227 771 421
1177	694 874 812 986
1178	55 813 475 276
1179	494 651 277 660
1180	771 694 880 877
1181	192 504 356 369
1182	204 138 238 894
1183	954 540 121 325
1184	392 305 21 284
1185	189 424 860 80
1186	502 811 105 745
1187	636 761 829 95
1188	159 509 618 464
1189	42 801 114 487
1190	504 727 631 405
1191	421 806 522 115
1192	447 562 593 709
1193	158 267 383 636
1194	104 466 915 670
1195	315 815 275 692
1196	390 284 142 118
1197	557 127 2 891
1198	95 109 935 10
1199	36 334 580 865
1200	541 812 468 462
1201	449 440 611 245
1202	102 846 919 444
1203	202 44 179 51
1204	425 12 434 930
1205	314 225 315 672
1206	228 163 333 282
1207	232 794 172 261
1208	896 453 341 295
1209	218 231 268 157
1210	931 641 314 421
1211	332 551 532 655
1212	497 98 287 325
1213	358 20 473 269
1214	951 655 634 148
1215	156 108 433 429
1216	215 144 823 518
1217	75 330 800 427
1218	335 505 529 626
1219	38 648 28 293
1220	345 644 846 452
1221	821 926 498 215
1222	854 768 967 510
1223	884 513 580 41
1224	355 843 954 347
1225	814 432 726 397
1226	372 900 197 390
1227	88 773 78 967
1228	955 377 706 621
1229	381 856 857 488
1230	961 383 656 2
1231	107 445 744 136
1232	772 740 506 544
1233	215 775 595 31
1234	816 941 559 383
1235	527 463 67 759
1236	328 702 56 270
1237	45 421 160 950
1238	268 619 772 432
1239	762 737 270 171
1240	231 555 597 841
1241	442 119 60 596
1242	453 754 783 559
1243	732 904 341 183
1244	764 382 381 966
1245	772 816 232 394
1246	422 127 859 361
1247	132 631 25 789
1248	291 727 99 644
1249	512 668 561 189
1250	768 829 722 520
1251	172 536 440 501
1252	167 351 204 947
1253	426 901 44 685
1254	43 630 331 362
1255	885 114 178 809
1256	57 972 350 531
1257	350 436 130 615
1258	536 879 586 776
1259	372 233 68 514
1260	869 148 392 691
1261	554 975 1000 493
1262	201 228 55 422
1263	594 65 977 949
1264	698 725 666 26
1265	930 551 799 112
1266	796 707 45 430
1267	587 546 296 329
1268	474 491 499 28
1269	506 735 103 134
1270	523 948 600 21
1271	192 713 13 755
1272	240 964 154 167
1273	991 1000 130 423
1274	728 572 261 760
1275	683 512 509 593
1276	222 468 673 281
1277	382 936 468 997
1278	456 53 669 355
1279	896 927 473 268
1280	130 903 323 350
1281	836 318 348 712
1282	920 562 340 221
1283	724 532 589 702
1284	367 871 601 947
1285	311 230 709 82
1286	169 605 200 230
1287	88 806 876 906
1288	59 75 2 965
1289	720 719 602 836
1290	530 468 709 351
1291	764 813 838 488
1292	88 142 15 407
1293	564 712 683 121
1294	598 775 651 113
1295	647 95 806 68
1296	566 285 51 318
1297	313 161 824 454
1298	847 666 929 90
1299	354 874 134 867
1300	401 463 246 181
1301	995 640 105 812
1302	146 417 950 843
1303	243 914 123 964
1304	907 949 379 329
1305	749 865 712 496
1306	741 499 419 11
1307	243 628 833 974
1308	609 466 323 206
1309	320 862 514 634
1310	509 391 634 500
1311	84 304 172 166
1312	692 305 763 526
1313	749 762 322 467
1314	509 664 618 952
1315	801 517 904 254
1316	755 76 131 661
1317	722 425 118 777
1318	166 135 652 939
1319	627 93 475 383
1320	795 11 959 817
1321	342 393 769 111
1322	615 106 67 574
1323	634 223 802 45
1324	610 980 116 817
1325	294 875 986 655
1326	4 1 351 481
1327	737 568 412 956
1328	29 614 627 552
1329	650 742 555 910
1330	830 910 920 312
1331	921 447 584 116
1332	666 226 40 428
1333	806 758 116 525
1334	582 839 132 261
1335	812 477 389 580
1336	95 402 544 364
1337	270 515 994 940
1338	258 702 372 250
1339	945 241 758 686
1340	660 455 289 159
1341	316 800 861 700
1342	553 333 289 746
1343	354 839 999 741
1344	300 135 628 304
1345	724 358 258 575
1346	764 54 528 395
1347	337 424 374 419
1348	111 254 227 541
1349	99 287 216 865
1350	720 595 520 902
1351	511 68 666 385
1352	538 153 256 750
1353	507 520 539 527
1354	288 385 184 872
1355	530 551 849 883
1356	381 144 111 968
1357	419 134 474 982
1358	242 512 608 527
1359	64 926 280 305
1360	53 366 387 613
1361	200 450 822 752
